Title,Year,Citation,Retraction,Retraction Time (days),Open Access,Number of Authors,Number of Retractions by Publishers,Number of Retractions by Journal,SJR,Journal Discontinue,Total Retractions by Authors
Vascular permeability and hemodynamic effects of ulinastatin on organs affected by shock during early burn injury,2018,4,1,1583,1,5,4020.0,3.0,0.0,0,6
"Emodin Suppresses Proliferation, Migration and Invasion in Ovarian Cancer Cells by down Regulating ILK in vitro and in vivo",2017,33,1,1907,1,9,487.0,192.0,0.81,0,30
MicroRNA-212 Inhibits Hepatocellular Carcinoma Cell Proliferation and Induces Apoptosis by Targeting FOXA1,2015,45,1,2602,1,11,487.0,192.0,0.81,0,26
Long Noncoding RNA KCNMB2-AS1 Increases ROCK1 Expression by Sponging microRNA-374a-3p to Facilitate the Progression of NonâSmall-Cell Lung Cancer,2020,14,1,726,1,3,487.0,118.0,0.675,0,5
LncRNA NOP14-AS1 Promotes Tongue Squamous Cell Carcinoma Progression by Targeting MicroRNA-665/HMGB3 Axis,2021,4,1,538,1,6,487.0,118.0,0.675,0,34
Long Noncoding RNA LINC00525 Promotes the Aggressive Phenotype of Chordoma Through Acting as a microRNA-505-3p Sponge and Consequently Raising HMGB1 Expression,2020,7,1,707,1,4,487.0,192.0,0.81,0,55
Knockdown of circRAD18 Mitigates Breast Cancer Progression through the Regulation of miR-613/HK2 Axis,2020,17,1,856,1,4,487.0,118.0,0.675,0,13
Down-Regulation of SREBP via PI3K/AKT/mTOR Pathway Inhibits the Proliferation and Invasion of Non-Small-Cell Lung Cancer Cells,2020,22,1,775,1,10,487.0,192.0,0.81,0,131
HS3ST2 and Its Related Molecules as Potential Biomarkers for Predicting Lymph Node Metastasis in Patients with Colorectal Cancer,2021,2,1,455,1,3,487.0,192.0,0.81,0,3
Effects of Combined Inhibition of STAT3 and VEGFR2 Pathways on the Radiosensitivity of Non-Small-Cell Lung Cancer Cells,2019,12,1,1333,1,7,487.0,192.0,0.81,0,50
SRF Potentiates Colon Cancer Metastasis and Progression in a microRNA-214/PTK6-Dependent Manner,2020,4,1,785,1,6,487.0,118.0,0.675,0,36
LncRNA GAS6-AS1 facilitates the progression of breast cancer by targeting the miR-324-3p/SETD1A axis to activate the PI3K/AKT pathway,2020,15,1,731,1,4,4020.0,1.0,1.59,0,16
BET inhibitor I-BET151 sensitizes GBM cells to temozolomide via PUMA induction,2019,9,1,1357,1,5,1008.0,25.0,1.457,0,12
SETDB1 promotes glioblastoma growth via CSF-1-dependent macrophage recruitment by activating the AKT/mTOR signaling pathway,2020,13,1,706,1,5,451.0,60.0,0.0,0,8
CD8+CD103+ iTregs inhibit the progression of lupus nephritis by attenuating glomerular endothelial cell injury,2019,10,1,1348,1,9,292.0,3.0,1.721,0,25
MicroRNAâ433 reduces cell proliferation and invasion in nonâsmall cell lung cancer via directly targeting E2F transcription factor 3,2018,18,1,1591,1,7,445.0,135.0,0.781,0,83
MicroRNA-433 inhibits oral squamous cell carcinoma cells by targeting FAK,2017,13,1,1783,1,15,48.0,37.0,0.789,0,377
Overexpression of Cosmc suppresses cell migration and invasion in different subtypes of breast cancer cells via Tn and T glycans,2020,5,1,826,1,4,137.0,126.0,0.754,0,80
Salinomycin enhances radiotherapy sensitivity and reduces expressions of BIRC5 and NEIL2 in nasopharyngeal carcinoma,2020,2,1,822,1,4,220.0,220.0,0.58,0,8
Characterization of Phosphoglycerate Kinase-1 Expression of Stromal Cells Derived from Tumor Microenvironment in Prostate Cancer Progression,2010,84,1,4307,1,8,122.0,60.0,3.468,0,33
CXCR6 Induces Prostate Cancer Progression by the AKT/Mammalian Target of Rapamycin Signaling Pathway,2008,104,1,5023,1,6,122.0,60.0,3.468,0,65
Overexpression of Neuregulin-1 (NRG-1) Gene Contributes to Surgical Repair of Brachial Plexus Injury After Contralateral C7 Nerve Root Transfer in Rats,2018,1,1,1130,1,4,67.0,66.0,0.0,0,16
Suitable nitrogen application mode and lateral spacing for drip-irrigated winter wheat in North China Plain,2021,5,1,277,1,9,726.0,685.0,0.839,0,24
Genome-wide association mapping of bread wheat genotypes for sustainable food security and yield potential under limited water conditions,2022,6,1,167,1,9,726.0,685.0,0.839,0,24
Spatial variations in the biochemical potential of okra [Abelmoschus esculentus L. (Moench)] leaf and fruit under field conditions,2022,5,1,196,1,8,726.0,685.0,0.839,0,17
Effect of carbon-enriched digestate on the microbial soil activity,2021,9,1,584,1,15,726.0,685.0,0.839,0,39
Silicon fertilization counteracts salinity-induced damages associated with changes in physio-biochemical modulations in spinach,2022,3,1,8,1,13,726.0,685.0,0.839,0,31
Mineral biofortification of vegetables through soil-applied poultry mortality compost,2022,1,1,196,1,7,726.0,685.0,0.839,0,14
Appraisal of foliar spray of iron and salicylic acid under artificial magnetism on morpho-physiological attributes of pea (Pisum sativum L.) plants,2022,4,1,153,1,11,726.0,685.0,0.839,0,31
Combination of sorafenib and gadolinium chloride (GdCl3) attenuates dimethylnitrosamine(DMN)-induced liver fibrosis in rats,2015,28,1,2495,1,8,451.0,7.0,0.747,0,102
IL-26 Promotes the Proliferation and Survival of Human Gastric Cancer Cells by Regulating the Balance of STAT1 and STAT3 Activation,2013,59,1,3465,1,7,726.0,685.0,0.839,0,13
miR-365 targets ADAM10 and suppresses the cell growth and metastasis of hepatocellular carcinoma,2017,27,1,2016,1,6,445.0,108.0,0.864,0,156
MicroRNAâ873 targets HOXA9 to inhibit the aggressive phenotype of osteosarcoma by deactivating the Wnt/Î²âcatenin pathway,2019,16,1,1294,1,7,445.0,39.0,1.099,0,34
MicroRNAâ379 inhibits cell proliferation and invasion in glioma via targeting metadherin and regulating PTEN/AKT pathway,2017,18,1,1722,1,2,445.0,135.0,0.781,0,57
Arabidopsis COPPER TRANSPORTER 1 undergoes degradation in a proteasome-dependent manner,2020,9,1,796,1,5,292.0,10.0,1.739,0,105
Long non-coding RNA GATA6-AS1 upregulates GATA6 to regulate the biological behaviors of lung adenocarcinoma cells,2021,4,1,487,1,5,451.0,4.0,0.773,0,68
hPMSC transplantation restoring ovarian function in premature ovarian failure mice is associated with change of Th17/Tc17 and Th17/Treg cell ratios through the PI3K/Akt signal pathway,2018,71,1,1669,1,11,451.0,28.0,0.0,0,51
"Erratum to MCM3AP-AS1 KD Inhibits Proliferation, Invasion, and Migration of PCa Cells via DNMT1/DNMT3 (A/B) Methylation-Mediated Upregulation of NPY1R",2020,2,1,829,1,3,190.0,64.0,1.849,0,44
"MCM3AP-AS1 KD Inhibits Proliferation, Invasion, and Migration of PCa Cells via DNMT1/DNMT3 (A/B) Methylation-Mediated Upregulation of NPY1R",2020,24,1,832,1,3,190.0,64.0,1.849,0,44
microRNA-145 inhibits osteosarcoma cell proliferation and invasion by targeting ROCK1,2014,31,1,2901,1,6,445.0,135.0,0.781,0,28
Quercetin Inhibits the Proliferation and Metastasis of Human Non-Small Cell Lung Cancer Cell Line: The Key Role of Src-Mediated Fibroblast Growth Factor-Inducible 14 (Fn14)/Nuclear Factor kappa B (NF-kappa B) Pathway,2020,37,1,792,1,4,67.0,66.0,0.0,0,61
A miRâ1275 mimic protects myocardiocyte apoptosis by regulating the Wnt/NFâÎºB pathway in a rat model of myocardial ischemia-reperfusionâinduced myocardial injury,2020,6,1,943,1,6,3505.0,31.0,0.901,0,33
Resibufogenin suppresses tumor growth and Warburg effect through regulating miR-143-3p/HK2 axis in breast cancer,2020,35,1,956,1,4,3505.0,31.0,0.901,0,19
Gray Matter-Based Age Prediction Characterizes Different Regional Patterns,2020,1,1,755,1,6,3505.0,2.0,1.37,0,43
Pluronic-based nano-self-assemblies of bacitracin A with a new mechanism of action for an efficient in vivo therapeutic effect against bacterial peritonitis,2018,13,1,1404,1,6,451.0,6.0,1.84,0,10
Dexmedetomidine postconditioning suppresses myocardial ischemia/reperfusion injury by activating the SIRT1/mTOR axis,2020,20,1,838,1,8,137.0,126.0,0.754,0,60
Long non-coding RNA GAS5 retards neural functional recovery in cerebral ischemic stroke through modulation of the microRNA-455-5p/PTEN axis,2020,10,1,574,1,4,4020.0,14.0,1.008,0,8
"miR-150 is downregulated in osteosarcoma and suppresses cell proliferation, migration and invasion by targeting ROCK1",2017,27,1,1810,1,6,445.0,66.0,0.644,0,14
Association of FcÎµRIÎ² polymorphisms with risk of asthma and allergic rhinitis: Evidence based on 29 case-control studies,2018,5,1,1592,1,8,137.0,126.0,0.754,0,28
Bone marrow mesenchymal stem cells-derived extracellular vesicles carrying microRNA-221-3p protect against ischemic stroke via ATF3,2021,21,1,499,1,6,4020.0,14.0,1.008,0,110
MicroRNA-29a-3p strengthens the effect of dexmedetomidine on improving neurologic damage in newborn rats with hypoxic-ischemic brain damage by inhibiting HDAC4,2020,12,1,657,1,5,4020.0,14.0,1.008,0,27
MicroRNA-1468 promotes tumor progression by activating PPAR-Î³-mediated AKT signaling in human hepatocellular carcinoma,2018,86,1,1563,1,10,451.0,60.0,0.0,0,101
"Effects of miR-145-5p through NRAS on the cell proliferation, apoptosis, migration, and invasion in melanoma by inhibiting MAPK and PI3K/AKT pathways",2017,66,1,1965,1,8,2080.0,9.0,1.174,0,25
"MicroRNA-182 downregulates Wnt/Î²-catenin signaling, inhibits proliferation, and promotes apoptosis in human osteosarcoma cells by targeting HOXA9",2017,25,1,1658,1,8,48.0,37.0,0.789,0,179
Down-regulation of lncRNA FEZF1-AS1 mediates regulatory T cell differentiation and further blocks immune escape in colon cancer,2021,1,1,393,1,5,1069.0,2.0,0.823,0,12
c-Jun Inhibits Thapsigargin-Induced ER Stress Through Up-Regulation of DSCR1/Adapt78,2008,27,1,5166,1,8,880.0,9.0,0.0,0,52
microRNA-139-5p alleviates neurological deficit in hypoxic-ischemic brain damage via HDAC4 depletion and BCL-2 activation,2021,8,1,523,1,3,4020.0,14.0,1.008,0,11
lncRNA lnc-TSI Inhibits Metastasis of Clear Cell Renal Cell Carcinoma by Suppressing TGF-Î²-Induced Epithelial-Mesenchymal Transition,2020,15,1,830,1,7,190.0,64.0,1.849,0,8
Bone Marrow Mesenchymal Stem Cell-Derived Exosomal MicroRNA-126-3p Inhibits Pancreatic Cancer Development by Targeting ADAM9,2019,94,1,1327,1,14,190.0,64.0,1.849,0,397
MiR-22 inhibition alleviates cardiac dysfunction in doxorubicin-induced cardiomyopathy by targeting the sirt1/PGC-1Î± pathway,2021,9,1,597,1,15,246.0,21.0,1.006,0,122
Mitochondrial fission and mitophagy reciprocally orchestrate cardiac fibroblasts activation,2021,13,1,580,1,14,246.0,11.0,1.576,0,30
"Erratum to: Î±,Î²-Unsaturated aldehyde pollutant acrolein suppresses cardiomyocyte contractile function: Role of TRPV1 and oxidative stress",2021,14,1,230,1,4,2080.0,4.0,0.921,0,32
"Differences in macrobenthic faunal communities in mangrove wetland habitats (Zhanjiang, China) invaded and non-invaded by exotic cordgrass Spartina alterniflora",2018,14,1,1560,1,4,1.0,1.0,0.713,0,6
Inhibition of TGF-Î² repairs spinal cord injury by attenuating EphrinB2 expressing through inducing miR-484 from fibroblast,2021,3,1,294,1,6,1008.0,3.0,1.668,0,8
The lncRNA SNHG5-mediated miR-205-5p downregulation contributes to the progression of clear cell renal cell carcinoma by targeting ZEB1,2020,17,1,621,1,7,2080.0,9.0,1.174,0,28
Exosome-mediated transfer of circRNA CircNFIX enhances temozolomide resistance in glioma,2020,117,1,982,1,9,4020.0,29.0,2.595,0,11
Downregulation of miR-96 suppresses the profibrogenic functions of cardiac fibroblasts induced by angiotensin II and attenuates atrial fibrosis by upregulating KLF13,2020,10,1,556,1,3,3505.0,8.0,0.805,0,11
Stem cells from human exfoliated deciduous teeth transmit microRNA-26a to protect rats with experimental intracerebral hemorrhage from cerebral injury via suppressing CTGF,2020,2,1,624,1,4,4020.0,14.0,1.008,0,70
Hsa_circ_0008360 sponges miR-186-5p to target CCND2 to modulate high glucose-induced vascular endothelial dysfunction,2021,9,1,278,1,13,1069.0,95.0,0.947,0,17
Down-regulated microRNA-223 or elevated ZIC1 inhibits the development of pancreatic cancer via inhibiting PI3K/Akt/mTOR signaling pathway activation,2020,2,1,481,1,5,1069.0,95.0,0.947,0,43
Restoring microRNA-499-5p Protects Sepsis-Induced Lung Injury Mice Via Targeting Sox6,2021,11,1,384,1,4,3505.0,19.0,0.0,0,72
Xia-yu-xue decoction (XYXD) reduces carbon tetrachloride (CCl4)-induced liver fibrosis through inhibition hepatic stellate cell activation by targeting NF-ÎºB and TGF-Î²1 signaling pathways,2015,22,1,2536,1,7,451.0,24.0,0.673,0,18
Vascular Endothelial Growth Factor Receptor-1 Activation Promotes Migration and Invasion of Breast Cancer Cells through Epithelial-Mesenchymal Transition,2013,43,1,3220,1,9,726.0,685.0,0.839,0,14
MicroRNA-424 Is Down-Regulated in Hepatocellular Carcinoma and Suppresses Cell Migration and Invasion through c-Myb,2014,81,1,3079,1,6,726.0,685.0,0.839,0,32
MiR-144 Inhibits Uveal Melanoma Cell Proliferation and Invasion by Regulating c-Met Expression,2015,49,1,2491,1,6,726.0,685.0,0.839,0,18
"MicroRNAâ497 inhibits cellular proliferation, migration and invasion of papillary thyroid cancer by directly targeting AKT3",2017,20,1,1780,1,8,445.0,135.0,0.781,0,36
MicroRNAâ432 inhibits the aggressiveness of glioblastoma multiforme by directly targeting IGFâ1R,2019,7,1,936,1,4,445.0,41.0,1.167,0,8
K-ras-ERK1/2 down-regulates H2A.XY142ph through WSTF to promote the progress of gastric cancer,2019,12,1,1135,1,4,451.0,21.0,1.087,0,19
Antimicrobial activities of different solvent extracts from stem and seeds of Peganum Harmala L,2022,6,1,125,1,15,726.0,685.0,0.839,0,46
Toxic and repellent impacts of botanical oils against Callosobruchus maculatus (Bruchidae: Coleoptera) in stored cowpea [Vigna unguiculata (L.) Walp.],2022,4,1,100,1,13,726.0,685.0,0.839,0,40
Integrative bioinformatics approaches to map key biological markers and therapeutic drugs in Extramammary Pagetâs disease of the scrotum,2021,13,1,405,1,6,726.0,685.0,0.839,0,11
Phytoremediation of nickel by quinoa: Morphological and physiological response,2022,12,1,230,1,13,726.0,685.0,0.839,0,49
"Influence of organic manures on soil nutrient content, microbial population, yield and quality parameters of pomegranate (Punica granatum L.) cv. Bhagwa",2022,19,1,135,1,13,726.0,685.0,0.839,0,18
"Sole and combined effect of foliar zinc and arbuscular mycorrhizae inoculation on basmati rice growth, productivity and grains nutrient",2022,0,1,124,1,10,726.0,685.0,0.839,0,22
Foliar application of mepiquat chloride and nitrogen improves yield and fiber quality traits of cotton (Gossypium hirsutum L.),2022,1,1,79,1,10,726.0,685.0,0.839,0,37
Assessment of composition and spatial dynamics of weed communities in agroecosystem under varying edaphic factors,2022,1,1,96,1,12,726.0,685.0,0.839,0,19
Silicon-based induced resistance in maize against fall armyworm [Spodoptera frugiperda (Lepidoptera: Noctuidae)],2021,13,1,354,1,9,726.0,685.0,0.839,0,39
Soil organic carbon and labile and recalcitrant carbon fractions attributed by contrasting tillage and cropping systems in old and recent alluvial soils of subtropical eastern India,2021,8,1,244,1,9,726.0,685.0,0.839,0,45
LncRNA CYTOR drives L-OHP resistance and facilitates the epithelial-mesenchymal transition of colon carcinoma cells via modulating miR-378a-5p/SERPINE1,2021,12,1,278,1,4,1069.0,95.0,0.947,0,10
p38/p53/miR-200a-3p feedback loop promotes oxidative stress-mediated liver cell death,2015,64,1,2519,1,7,1069.0,95.0,0.947,0,85
Anti-inflammatory effect of up-regulated microRNA-221-3p on coronary heart disease via suppressing NLRP3/ASC/pro-caspase-1 inflammasome pathway activation,2020,8,1,614,1,8,1069.0,95.0,0.947,0,40
miR-15b-3p promotes the malignant progression of endometrial cancer cells through targeting KLF2,2021,3,1,278,1,5,1069.0,95.0,0.947,0,33
LncRNA SENCR promotes cell proliferation and progression in non-small-cell lung cancer cells via sponging miR-1-3p,2021,5,1,278,1,5,1069.0,95.0,0.947,0,19
CircLNPEP promotes the progression of ovarian cancer through regulating miR-876-3p/ WNT5A axis,2021,7,1,162,1,6,1069.0,95.0,0.947,0,27
Long non-coding RNA VPS9D1-AS1 promotes growth of colon adenocarcinoma by sponging miR-1301-3p and CLDN1,2021,6,1,148,1,1,3505.0,8.0,0.805,0,58
Opa1 reduces hypoxia-induced cardiomyocyte death by improving mitochondrial quality control,2020,21,1,719,1,5,246.0,11.0,1.576,0,17
Propofol exerts neuroprotective functions by down-regulating microRNA-19a in glutamic acid-induced PC12 cells,2020,10,1,646,1,4,2080.0,11.0,1.197,0,5
Tripterine ameliorates monosodium urate crystalâinduced gouty arthritis by altering macrophage polarization via the miRâ449a/NLRP3 axis,2021,14,1,249,1,1,3505.0,8.0,1.309,0,41
Knockdown of long nonâcoding RNA TUG1 depresses apoptosis of hippocampal neurons in Alzheimer's disease by elevating microRNAâ15a and repressing ROCK1 expression,2020,37,1,685,1,5,3505.0,8.0,1.309,0,22
LncRNA AWPPH promotes the growth of triple-negative breast cancer by up-regulating frizzled homolog 7 (FZD7),2018,30,1,1407,1,4,137.0,126.0,0.754,0,11
NF-ÎºB inhibition promotes apoptosis in androgen-independent prostate cancer cells by the photothermal effect via the IÎºBÎ±/AR signaling pathway,2019,16,1,1239,1,10,323.0,7.0,1.206,0,123
MicroRNA-511 inhibits malignant behaviors of breast cancer by directly targeting SOX9 and regulating the PI3K/Akt pathway,2018,15,1,1434,1,5,445.0,39.0,1.099,0,91
MicroRNAâ337 inhibits colorectal cancer progression by directly targeting KRAS and suppressing the AKT and ERK pathways,2017,11,1,1801,1,3,445.0,108.0,0.864,0,55
Î±-bisabolol enhances radiotherapy-induced apoptosis in endometrial cancer cells by reducing the effect of XIAP on inhibiting caspase-3,2019,10,1,1060,1,4,137.0,126.0,0.754,0,43
"Potential of Landsat 8 OLI for mapping and monitoring of soil salinity in an arid region: A case study in Dushak, Turkmenistan",2021,10,1,275,1,7,726.0,685.0,0.839,0,37
The impact of aqueous and N-hexane extracts of three Fabaceae species on seed germination and seedling growth of some broadleaved weed species,2021,2,1,463,1,11,726.0,685.0,0.839,0,63
MiR-182 regulates cell proliferation and apoptosis in laryngeal squamous cell carcinoma by targeting the CRR9,2019,6,1,1025,1,7,137.0,126.0,0.754,0,48
The impact of different plant extracts on population suppression of Helicoverpa armigera (Hub.) and tomato (Lycopersicon esculentum Mill) yield under field conditions,2021,8,1,582,1,13,726.0,685.0,0.839,0,51
Effect of zinc nanoparticles seed priming and foliar application on the growth and physio-biochemical indices of spinach (Spinacia oleracea L.) under salt stress,2022,33,1,176,1,14,726.0,685.0,0.839,0,27
The influence of vermicomposting on photosynthetic activity and productivity of maize (Zea mays L.) crop under semi-arid climate,2021,8,1,357,1,16,726.0,685.0,0.839,0,73
Alleviation of temperature stress in maize by integration of foliar applied growth promoting substances and sowing dates,2022,6,1,209,1,9,726.0,685.0,0.839,0,31
Circular RNA circPDSS1 promotes osteosarcoma progression by sponging miR-502-3p and miR-4436a,2022,1,1,278,1,8,215.0,5.0,0.476,0,29
PDGF-BB/KLF4/VEGF Signaling Axis in Pulmonary Artery Endothelial Cell Angiogenesis,2017,40,1,1952,1,11,106.0,115.0,0.733,0,29
MicroRNA-449a Inhibition Protects H9C2 Cells Against Hypoxia/Reoxygenation-Induced Injury by Targeting the Notch-1 Signaling Pathway,2018,27,1,1699,1,8,106.0,115.0,0.733,0,25
Lycium Barbarum Polysaccharides Alleviates Oxidative Damage Induced by H2O2 Through Down-Regulating MicroRNA-194 in PC-12 and SH-SY5Y Cells,2018,22,1,1694,1,5,106.0,115.0,0.733,0,67
Chrysin Inhibits Proinflammatory Factor-Induced EMT Phenotype and Cancer Stem Cell-Like Features in HeLa Cells by Blocking the NF-ÎºB/Twist Axis,2019,24,1,1334,1,8,106.0,115.0,0.733,0,58
Hyaluronic Acid-PluronicÂ®F127-Laden Soft Contact Lenses for Corneal Epithelial Healing: In Vitro and In Vivo Studies,2020,7,1,932,1,4,3505.0,16.0,0.561,0,15
Knockdown of KCNQ1OT1 Suppresses Cell Invasion and Sensitizes Osteosarcoma Cells to CDDP by Upregulating DNMT1-Mediated Kcnq1 Expression,2019,27,1,1214,1,8,190.0,64.0,1.849,0,49
Comprehensive Analysis of the Expression and Prognosis for E2Fs in Human Breast Cancer,2019,112,1,1084,1,21,190.0,17.0,0.0,0,138
IL-6/STAT3 Signaling Contributes to Sorafenib Resistance in Hepatocellular Carcinoma Through Targeting Cancer Stem Cells,2020,33,1,691,1,6,487.0,192.0,0.81,0,54
"LncRNA MIAT regulated by selenium and T-2 toxin increases NF-ÎºB-p65 activation, promoting the progress of Kashin-Beck Disease",2020,10,1,640,1,7,880.0,19.0,0.621,0,172
Role of HCP5-miR-139-RUNX1 Feedback Loop in Regulating Malignant Behavior of Glioma Cells,2016,83,1,2134,1,9,190.0,17.0,0.0,0,96
Isovitexin reduces carcinogenicity and stemness in hepatic carcinoma stem-like cells by modulating MnSOD and FoxM1,2019,22,1,1170,1,14,451.0,60.0,0.0,0,84
Exosome-Derived miR-130a Activates Angiogenesis in Gastric Cancer by Targeting C-MYB in Vascular Endothelial Cells,2018,157,1,1537,1,12,190.0,17.0,0.0,0,70
MicroRNA-107 regulates autophagy and apoptosis of osteoarthritis chondrocytes by targeting TRAF3,2019,37,1,0,1,3,4020.0,34.0,1.167,0,18
Sialic acid-modified solid lipid nanoparticles as vascular endothelium-targeting carriers for ischemia-reperfusion-induced acute renal injury,2017,26,1,1729,1,14,1069.0,7.0,1.155,0,16
MicroRNA-208b Alleviates Post-Infarction Myocardial Fibrosis in a Rat Model by Inhibiting GATA4,2016,27,1,2242,1,6,67.0,66.0,0.0,0,45
A new 3D pillar-layered Cd(II) compound: Luminescence sensing property for detection of Fe3+ ions and treatment activity on focal cerebral ischemia/reperfusion,2021,2,1,450,1,6,2080.0,3.0,0.342,0,40
A fluorescent Zn(II)-containing coordination polymer for antibiotic sensing and treatment activity on periodontal tissue inflammation after orthodontics by inhibiting the growth of Porphyromonas gingivalis,2020,2,1,703,1,3,3505.0,5.0,0.462,0,5
Triptolide inhibits angiogenesis in microvascular endothelial cells through regulation of miR-92a,2019,11,1,1010,1,3,3505.0,5.0,0.953,0,12
Low density lipoprotein receptor targeted doxorubicin/DNA-Gold Nanorods as a chemo- and thermo-dual therapy for prostate cancer,2016,18,1,2337,1,9,4020.0,6.0,0.954,0,45
Sappanone A prevents hypoxia-induced injury in PC-12 cells by down-regulation of miR-15a,2018,5,1,1493,1,6,4020.0,11.0,1.245,0,25
Cytochrome P450 3A5 polymorphism affects the metabolism of sorafenib and its toxicity for hepatocellular carcinoma cells in vitro,2021,0,1,280,1,4,880.0,19.0,0.621,0,15
Silencing SP1 Alleviated SevofuraneâInduced POCD Development via Cholinergic Antiâinfammatory Pathway,2020,30,1,788,1,5,3505.0,12.0,1.031,0,56
Long nonâcoding RNA PRNCR1 exerts oncogenic effects in tongue squamous cell carcinoma in vitro and in vivo by sponging microRNAâ944 and thereby increasing HOXB5 expression,2020,8,1,861,1,4,445.0,41.0,1.167,0,4
MicroRNAâ936 inhibits the malignant phenotype of retinoblastoma by directly targeting HDAC9 and deactivating the PI3K/AKT pathway,2020,21,1,723,1,7,445.0,108.0,0.864,0,21
"MicroRNA-199b targets the regulation of ZEB1 expression to inhibit cell proliferation, migration and invasion in nonâsmall cell lung cancer",2017,15,1,1812,1,6,445.0,135.0,0.781,0,49
"Silencing the long noncoding RNA, TINCR, a molecular sponge of miRâ335, inhibits the malignant phenotype of epithelial ovarian cancer via FGF2 suppression",2019,15,1,1051,1,5,445.0,39.0,1.099,0,43
microRNAâ188 acts as a tumour suppressor in glioma by directly targeting the IGF2BP2 gene,2017,16,1,1873,1,3,445.0,135.0,0.781,0,38
Downregulation of microRNAâ198 suppresses cell proliferation and invasion in retinoblastoma by directly targeting PTEN,2018,16,1,1512,1,5,445.0,135.0,0.781,0,5
MicroRNAâ939â5p directly targets IGFâ1R to inhibit the aggressive phenotypes of osteosarcoma through deactivating the PI3K/Akt pathway,2019,14,1,1204,1,3,445.0,41.0,1.167,0,42
"MiR-143-3p functions as a tumor suppressor by regulating cell proliferation, invasion and epithelial-mesenchymal transition by targeting QKI-5 in esophageal squamous cell carcinoma",2016,125,1,2247,1,7,451.0,35.0,8.222,0,37
Sulfasalazine Inhibits Inflammation and Fibrogenesis in Pancreas via NF-ÎºB Signaling Pathway in Rats with Oxidative Stress-Induced Pancreatic Injury,2016,9,1,2277,1,7,487.0,33.0,0.999,0,8
RPL38 Regulates the Proliferation and Apoptosis of Gastric Cancer via miR-374b-5p/VEGF Signal Pathway,2020,4,1,783,1,2,487.0,192.0,0.81,0,6
"Clinical Significance of SLP-2 in Hepatocellular Carcinoma Tissues and Its Regulation in Cancer Cell Proliferation, Migration, and EMT",2017,8,1,1793,1,6,487.0,192.0,0.81,0,11
Effect of nano zinc oxide on proliferation and toxicity of human gingival cells,2021,1,1,273,1,4,880.0,19.0,0.621,0,4
AgNPs reduce reproductive capability of female mouse for their toxic effects on mouse early embryo development,2021,0,1,364,1,13,880.0,19.0,0.621,0,58
"The carcinogenic complex lncRNA FOXP4-AS1/EZH2/LSD1 accelerates proliferation, migration and invasion of gastric cancer",2019,19,1,1035,1,5,220.0,220.0,0.58,0,43
"MicroRNA-16-5p/BTG2 axis affects neurological function, autophagy and apoptosis of hippocampal neurons in Alzheimer's disease",2021,7,1,589,1,6,4020.0,14.0,1.008,0,41
Mfn2 overexpression attenuates Cardio-Cerebrovascular Ischemia-Reperfusion injury through mitochondrial fusion and activation of the AMPK/Sirt3 signaling,2020,23,1,532,1,3,246.0,21.0,1.006,0,37
Mitofusin-2 enhances mitochondrial contact with the endoplasmic reticulum and promotes diabetic cardiomyopathy,2021,8,1,244,1,3,246.0,21.0,1.006,0,83
Molecular perspectives of mitophagy in myocardial stress: Pathophysiology and therapeutic targets,2021,6,1,282,1,5,246.0,21.0,1.006,0,17
Novel insights into the role of mitochondria-derived peptides in myocardial infarction,2021,2,1,162,1,3,246.0,21.0,1.006,0,15
High glucose activated cardiac fibroblasts by a disruption of mitochondria-associated membranes,2021,1,1,233,1,14,246.0,21.0,1.006,0,19
Matrine protects cardiomyocytes against hyperglycemic stress by promoting mitofusin 2-induced mitochondrial fusion,2021,2,1,402,1,5,246.0,21.0,1.006,0,19
Mammalian STE20-like kinase 2 promotes lipopolysaccharides-mediated cardiomyocyte inflammation and apoptosis by enhancing mitochondrial fission,2020,8,1,669,1,7,246.0,21.0,1.006,0,64
Altitude cardiomyopathy is associated with impaired stress electrocardiogram and increased circulating inflammation makers,2021,0,1,156,1,12,246.0,21.0,1.006,0,24
Protective effect of Xinmailong injection on rats with myocardial infarction,2021,1,1,450,1,6,246.0,21.0,1.006,0,115
Abnormal mitochondria-endoplasmic reticulum communication promotes myocardial infarction,2021,7,1,396,1,5,246.0,21.0,1.006,0,15
Mitochondrial tRNA mutations associated with essential hypertension: From molecular genetics to function,2021,10,1,441,1,2,246.0,11.0,1.576,0,4
Oxidized LDL causes endothelial apoptosis by inhibiting mitochondrial fusion and mitochondria autophagy,2020,32,1,513,1,2,246.0,11.0,1.576,0,5
Overexpression of SERCA2a alleviates cardiac microvascular ischemic injury by suppressing Mfn2-mediated ER/mitochondrial calcium tethering,2021,8,1,459,1,2,246.0,11.0,1.576,0,62
Overexpression of MicroRNA-340-5p Inhibits Pulmonary Arterial Hypertension Induced by APE by Downregulating IL-1Î² and IL-6,2020,21,1,869,1,6,190.0,64.0,1.849,0,38
Silencing of Apurinic/Apyrimidinic Endonuclease 1 Inhibits the Growth and Migration in Ovarian Cancer Cell via Activator-Protein-1 Signaling,2016,4,1,2174,1,4,75.0,5.0,0.579,0,5
Chemoprotective Effect of Daphnetin Against Benzene-induced Leukemia via Alteration of CYP2E1,2021,0,1,302,1,6,3505.0,4.0,0.548,0,9
